SEI10,ID,AGE,INCOME16,EDUC,RACE,Black,White,Other,Male,Female,Urban,Fulltime,Parttime,NotWorking,Unemployed,KeepingHouse,Retired,AtSchool
65.3,475,28,23,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
38.8,476,76,18,13,2,1,0,0,0,1,1,0,0,0,0,0,1,0
20.7,477,71,16,10,1,0,1,0,0,1,1,0,0,0,0,0,1,0
44.5,478,24,17,17,1,0,1,0,1,0,1,0,0,0,1,0,0,0
72.7,479,61,18,13,1,0,1,0,0,1,1,0,0,0,0,1,0,0
92.2,480,34,9,20,3,0,0,1,0,1,1,1,0,0,0,0,0,0
37.8,481,48,8,15,1,0,1,0,1,0,1,0,0,0,1,0,0,0
25.4,482,27,18,17,1,0,1,0,1,0,1,1,0,0,0,0,0,0
19.6,483,26,21,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
43.8,484,31,16,13,3,0,0,1,0,1,1,1,0,0,0,0,0,0
71.8,485,61,24,15,1,0,1,0,0,1,1,1,0,0,0,0,0,0
74.6,486,44,25,19,1,0,1,0,0,1,1,0,0,1,0,0,0,0
72.6,487,84,22,15,1,0,1,0,1,0,1,0,0,0,0,0,1,0
84.5,488,73,23,21,1,0,1,0,1,0,1,1,0,0,0,0,0,0
28.7,489,37,26,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
76.3,490,82,21,15,1,0,1,0,0,1,1,0,0,0,0,0,1,0
68,491,29,18,13,3,0,0,1,1,0,0,1,0,0,0,0,0,0
23.3,493,37,9,3,3,0,0,1,1,0,0,0,1,0,0,0,0,0
84.5,494,32,12,21,3,0,0,1,1,0,0,0,0,0,1,0,0,0
25.2,496,50,16,13,3,0,0,1,1,0,0,1,0,0,0,0,0,0
13.6,497,34,21,14,1,0,1,0,1,0,0,1,0,0,0,0,0,0
39.7,498,42,20,13,1,0,1,0,0,1,0,1,0,0,0,0,0,0
60.3,499,58,22,13,1,0,1,0,0,1,0,0,1,0,0,0,0,0
20.1,500,33,9,13,1,0,1,0,0,1,0,0,1,0,0,0,0,0
20.1,501,58,19,14,1,0,1,0,0,1,0,1,0,0,0,0,0,0
64.5,502,22,16,16,1,0,1,0,1,0,0,0,0,0,0,0,0,1
19.6,503,24,12,15,1,0,1,0,0,1,0,0,1,0,0,0,0,0
19.7,505,20,22,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
76.3,507,54,23,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
39.7,508,21,22,16,1,0,1,0,0,1,1,0,1,0,0,0,0,0
80.7,509,55,26,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
62.9,510,42,23,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
24.2,511,65,20,13,1,0,1,0,0,1,1,0,0,0,0,0,1,0
24.2,513,59,23,15,1,0,1,0,0,1,1,0,1,0,0,0,0,0
28.4,514,32,22,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
57.5,515,51,25,14,1,0,1,0,1,0,1,1,0,0,0,0,0,0
30.9,516,69,25,13,1,0,1,0,1,0,0,1,0,0,0,0,0,0
80.7,517,34,21,20,1,0,1,0,0,1,0,1,0,0,0,0,0,0
23.3,518,24,12,16,1,0,1,0,1,0,0,0,1,0,0,0,0,0
20.1,519,45,20,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0
26.8,520,34,20,11,1,0,1,0,0,1,0,0,0,0,0,1,0,0
77.4,521,58,22,14,1,0,1,0,1,0,0,1,0,0,0,0,0,0
24.2,522,47,23,21,1,0,1,0,0,1,0,1,0,0,0,0,0,0
77.4,523,50,26,19,1,0,1,0,1,0,1,1,0,0,0,0,0,0
91.1,524,33,26,17,3,0,0,1,0,1,1,1,0,0,0,0,0,0
